name,symbol,price_usd,change_24h_percent,market_cap_usd,timestamp,color_hex
Bitcoin,BTC,79979.5,0.08,1600000000000.0,2026-09-06 09:44:53,#c9f269
Ethereum,ETH,2507.46,0.18,306110000000.0,2026-09-06 09:44:53,#77d6c5
Tether,USDT,1.0,0.01,183390000000.0,2026-09-06 09:44:53,#f5b97d
BNB,BNB,764.86,0.11,101850000000.0,2026-09-06 09:44:53,#a8b8ff
XRP,XRP,1.42,0.43,89380000000.0,2026-09-06 09:44:53,#f28f9d
USDC,USDC,0.9997,0.01,74610000000.0,2026-09-06 09:44:53,#c8a5f5
Solana,SOL,106.03,1.57,62080000000.0,2026-09-06 09:44:53,#f4df69
TRON,TRX,0.333,0.07,31610000000.0,2026-09-06 09:44:53,#8ed1f0
Hyperliquid,HYPE,85.91,0.39,21600000000.0,2026-09-06 09:44:53,#d4b483
Bitcoin,BTC,79979.5,0.08,1600000000000.0,2026-09-06 09:45:06,#c9f269
Ethereum,ETH,2507.46,0.18,306110000000.0,2026-09-06 09:45:06,#77d6c5
Bitcoin,BTC,79979.5,0.08,1600000000000.0,2026-09-06 09:46:14,#c9f269
Ethereum,ETH,2507.46,0.18,306110000000.0,2026-09-06 09:46:14,#77d6c5
Bitcoin,BTC,79968.89,0.02,1600000000000.0,2026-09-06 09:46:52,#c9f269
Ethereum,ETH,2507.01,0.03,305910000000.0,2026-09-06 09:46:52,#77d6c5
Bitcoin,BTC,79973.1,0.02,1600000000000.0,2026-09-06 09:51:02,#c9f269
Ethereum,ETH,2507.53,0.05,306110000000.0,2026-09-06 09:51:02,#77d6c5
Tether,USDT,1.0,0.0,183400000000.0,2026-09-06 09:51:02,#f5b97d
BNB,BNB,764.79,0.07,101840000000.0,2026-09-06 09:51:02,#a8b8ff
XRP,XRP,1.42,0.23,89210000000.0,2026-09-06 09:51:02,#f28f9d
USDC,USDC,0.9999,0.01,74620000000.0,2026-09-06 09:51:02,#c8a5f5
Solana,SOL,105.99,1.51,62050000000.0,2026-09-06 09:51:02,#f4df69
TRON,TRX,0.3333,0.05,31640000000.0,2026-09-06 09:51:02,#8ed1f0
Hyperliquid,HYPE,85.95,0.29,21620000000.0,2026-09-06 09:51:02,#d4b483
Zcash,ZEC,1073.65,0.88,18090000000.0,2026-09-06 09:51:02,#9ee493
Bitcoin,BTC,79916.17,0.14,1600000000000.0,2026-09-06 10:15:55,#c9f269
Ethereum,ETH,2502.09,0.3,305370000000.0,2026-09-06 10:15:55,#77d6c5
Tether,USDT,1.0,0.01,183390000000.0,2026-09-06 10:15:55,#f5b97d
BNB,BNB,762.6,0.29,101550000000.0,2026-09-06 10:15:55,#a8b8ff
XRP,XRP,1.41,0.34,89030000000.0,2026-09-06 10:15:55,#f28f9d
USDC,USDC,0.9999,0.0,74620000000.0,2026-09-06 10:15:55,#c8a5f5
Solana,SOL,105.88,0.31,61990000000.0,2026-09-06 10:15:55,#f4df69
TRON,TRX,0.3332,0.03,31630000000.0,2026-09-06 10:15:55,#8ed1f0
Hyperliquid,HYPE,86.11,0.26,21660000000.0,2026-09-06 10:15:55,#d4b483
Zcash,ZEC,1071.23,0.57,18050000000.0,2026-09-06 10:15:55,#9ee493
Bitcoin,BTC,79932.54,0.22,1600000000000.0,2026-09-06 10:19:48,#c9f269
Ethereum,ETH,2503.84,0.38,305390000000.0,2026-09-06 10:19:48,#77d6c5
Tether,USDT,1.0,0.0,183400000000.0,2026-09-06 10:19:48,#f5b97d
BNB,BNB,762.67,0.31,101550000000.0,2026-09-06 10:19:48,#a8b8ff
XRP,XRP,1.41,0.58,89040000000.0,2026-09-06 10:19:48,#f28f9d
USDC,USDC,0.9999,0.0,74620000000.0,2026-09-06 10:19:48,#c8a5f5
Solana,SOL,105.96,0.74,62030000000.0,2026-09-06 10:19:48,#f4df69
TRON,TRX,0.3332,0.03,31630000000.0,2026-09-06 10:19:48,#8ed1f0
Hyperliquid,HYPE,86.1,0.22,21650000000.0,2026-09-06 10:19:48,#d4b483
Zcash,ZEC,1076.2,1.05,18140000000.0,2026-09-06 10:19:48,#9ee493
